transaction_id,transaction_ts,customer_id,customer_name,gender,age,signup_date,county,town,merchant_id,merchant_name,category,product,quantity,unit_price_kes,discount_pct,amount_kes,delivery_fee_kes,channel,payment_method,device_os,status,rating,session_id,delivery_days
TXN208954,2025-01-01 19:28:41,CUST5686,Salim Koech,Male,31,2024-07-21,Kajiado,Kitengela,MER1019,Jamii Traders,Airtime & Data,Safaricom Airtime 100,1,960.0,0,960.0,0,USSD,M-Pesa,Android,Completed,4,SES708949,
TXN201477,2025-01-01 19:30:45,CUST6507,Wekesa Simiyu,Male,18,2024-10-10,Meru,Maua,MER1103,Amani Enterprises,Electronics,Bluetooth Speaker,1,3973.0,0,3973.0,300,Agent Outlet,Card,Android,Completed,5,SES701477,1
TXN205657,2025-01-01 19:53:14,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1007,Bora Ltd,Fashion,Kitenge Shirt,3,7943.0,0,23829.0,300,USSD,Airtel Money,Android,Completed,4,SES705655,3
TXN203891,2025-01-01 20:56:01,CUST6515,Mwende Bett,Female,28,2024-12-01,Mombasa,Likoni,MER1065,Baraka Supplies,Transport,Shuttle Ticket,8,1950.0,0,15600.0,0,USSD,M-Pesa,Android,Completed,,SES703890,
TXN201052,2025-01-01 21:05:25,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1089,Soko Enterprises,Transport,Shuttle Ticket,1,616.0,0,616.0,0,Mobile App,M-Pesa,Android,Failed,,SES701052,
TXN206715,2025-01-01 22:35:13,CUST5826,Wanyonyi Bett,Male,32,2025-01-01,Kisumu,Mamboleo,MER1077,Jamii Mart,Food & Beverage,Chapati Pack,2,1069.0,0,2138.0,0,Mobile App,M-Pesa,Android,Completed,,SES706712,
TXN201866,2025-01-02 08:21:11,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1076,Bora Stores,Food & Beverage,Pilau Serving,1,321.0,0,321.0,250,USSD,M-Pesa,Android,Failed,,SES701865,
TXN203980,2025-01-02 08:29:44,CUST5571,Kimutai Chege,Male,29,2024-12-10,Nyeri,,MER1030,Baraka Ltd,Groceries,Milk 500ml x12,1,1866.0,0,1866.0,250,Mobile App,Bank Transfer,Android,Completed,,SES703979,3
TXN210390,2025-01-02 08:56:06,CUST5334,Wafula Amollo,Male,41,2024-03-04,Nairobi,Westlands,MER1043,Neema Ltd,Financial Services,Loan Repayment,5,1652.0,10,7434.0,0,Mobile App,Cash,Android,Completed,,SES710384,
TXN203300,2025-01-02 09:23:43,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1104,Twiga Hub,Transport,Shuttle Ticket,1,2775.0,0,2775.0,0,Mobile App,Bank Transfer,Android,Completed,5,SES703299,
TXN213800,2025-01-02 10:23:28,CUST5696,Salim Kimani,Male,28,2024-10-23,Mombasa,Nyali,MER1037,Imani Hub,Airtime & Data,Telkom Bundle 5GB,1,943.0,0,943.0,0,Mobile App,M-Pesa,Android,Completed,,SES713791,
TXN211338,2025-01-02 10:45:43,CUST6228,Kilonzo Mutua,Male,25,2024-11-16,Machakos,Machakos Town,MER1101,Soko Hub,Groceries,Green Grams 1kg,1,1831.0,0,1831.0,150,Agent Outlet,Bank Transfer,Android,Completed,3,SES711331,3
TXN200376,2025-01-02 11:10:15,CUST5903,Njoki Ndung'u,Female,18,2023-11-28,Machakos,Athi River,MER1075,Heri Agencies,Health & Beauty,Face Wash,1,3965.0,15,3370.25,200,USSD,M-Pesa,Feature Phone,Completed,5,SES700377,4
TXN207756,2025-01-02 11:41:09,CUST6277,Njeri Mwende,Female,33,2024-08-07,Nairobi,Ruaraka,MER1090,Rafiki Collection,Financial Services,School Fees Payment,3,4983.0,5,14201.55,0,Agent Outlet,Cash,Android,Completed,,SES707753,
TXN208566,2025-01-02 12:04:31,CUST6344,Jepkosgei Ouma,Female,23,2023-12-28,Kisumu,Nyalenda,MER1086,Tumaini Supplies,Utilities,Water Bill,2,430.0,0,860.0,0,Mobile App,M-Pesa,Android,Completed,,SES708562,
TXN207375,2025-01-02 13:00:10,CUST5568,Naliaka Nzioka,Female,18,2024-01-14,Nairobi,Kilimani,MER1046,Bora Dukas,Food & Beverage,Pilau Serving,1,881.0,0,881.0,350,Agent Outlet,Cash,Android,Completed,5,SES707372,2
TXN201521,2025-01-02 13:41:05,CUST5371,Jepkosgei Ogutu,Female,31,2024-05-31,Kiambu,Juja,MER1058,Twiga Collection,Airtime & Data,Airtime Voucher 250,1,290.0,0,290.0,0,Mobile App,Bank Transfer,iOS,Completed,5,SES701521,
TXN204093,2025-01-02 14:30:29,CUST6699,Cherono Githinji,Female,30,2024-02-16,Nakuru,Bahati,MER1116,Twiga Supplies,Airtime & Data,Safaricom Data 10GB,1,581.0,0,581.0,0,Web,M-Pesa,iOS,Completed,4,SES704092,
TXN213517,2025-01-02 14:46:07,CUST6217,Achieng Kiptoo,Female,29,2024-05-08,Nairobi,Westlands,MER1087,Zawadi Stores,Agriculture,Maize Seed 2kg,2,2984.0,0,5968.0,350,Agent Outlet,Cash,Android,Completed,,SES713509,1
TXN213403,2025-01-02 15:00:39,CUST5929,Baraka Mwende,Male,18,2024-06-28,Nairobi,Kasarani,MER1079,Imani Ltd,Utilities,KPLC Token,4,3355.0,0,13420.0,0,Web,M-Pesa,Android,Completed,,SES713395,
TXN214334,2025-01-02 15:13:51,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1029,Bora Enterprises,Groceries,Unga Maize Flour 2kg,1,2257.0,20,1805.6,300,Mobile App,Airtel Money,Android,Completed,,SES714325,2
TXN212918,2025-01-02 15:47:27,CUST5179,Fatuma Ndung'u,Female,39,2024-10-07,Nairobi,Kilimani,MER1049,Mama Stores,Electronics,Power Bank 20000mAh,2,12318.0,0,24636.0,0,Web,Card,Android,Completed,4,SES712910,
TXN208840,2025-01-02 16:23:19,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1104,Twiga Hub,Transport,Matatu Fare,2,2095.0,0,4190.0,0,Mobile App,Card,Android,Completed,3,SES708836,
TXN210433,2025-01-02 16:35:39,CUST5282,Kamau Cheruiyot,Male,31,2024-10-24,Kiambu,,MER1013,Amani Supplies,Food & Beverage,Mandazi Pack,2,1171.0,5,2224.9,150,Mobile App,M-Pesa,Android,Cancelled,,SES710427,
TXN207724,2025-01-02 17:33:31,CUST5771,Yusuf Wanyama,Male,47,2024-06-26,Nairobi,Westlands,MER1112,Safi Mart,Groceries,Unga Maize Flour 2kg,1,937.0,0,937.0,0,Mobile App,Card,Web Browser,Completed,,SES707721,
TXN208322,2025-01-02 17:43:10,CUST5783,Kanini Ouma,Female,25,2024-08-17,Mombasa,Changamwe,MER1039,Bora Mart,Groceries,Sukari 1kg,3,261.0,0,783.0,350,Mobile App,M-Pesa,Android,Completed,,SES708318,5
TXN201651,2025-01-02 18:11:30,CUST6471,Salim Chege,Male,24,2024-06-29,Mombasa,Likoni,MER1040,Chapa Mart,Fashion,Kitenge Shirt,1,3570.0,0,3570.0,250,USSD,M-Pesa,Feature Phone,Completed,,SES701650,10
TXN205094,2025-01-02 18:19:56,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1060,Jamii Stores,Airtime & Data,Airtel Data 2GB,4,1071.0,0,4284.0,0,Agent Outlet,Cash,Android,Completed,4,SES705092,
TXN211792,2025-01-02 18:38:37,CUST6228,Kilonzo Mutua,Male,25,2024-11-16,Machakos,Machakos Town,MER1109,Twiga Traders,Transport,Shuttle Ticket,2,730.0,5,1387.0,0,Agent Outlet,Cash,Android,Failed,,SES711785,
TXN203240,2025-01-02 18:46:29,CUST6771,Hamisi Hassan,Male,36,2024-02-26,Nairobi,Embakasi,MER1096,Pamoja Mart,Groceries,Rice Pishori 5kg,2,1495.0,0,2990.0,0,Agent Outlet,Airtel Money,Feature Phone,Completed,,SES703239,
TXN207256,2025-01-02 19:12:38,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1029,Bora Enterprises,Groceries,Cooking Oil 3L,2,2082.0,0,4164.0,200,Web,M-Pesa,Android,Completed,4,SES707253,2
TXN207762,2025-01-02 20:15:11,CUST5716,Halima Ndung'u,Female,30,2023-12-12,Nairobi,Kilimani,MER1069,Soko Ltd,Financial Services,Loan Repayment,1,17980.0,0,17980.0,0,Mobile App,M-Pesa,Android,Completed,,SES707759,
TXN207848,2025-01-02 20:37:09,CUST6251,Mwangi Kimani,Male,22,2023-12-27,kajiado,Kitengela,MER1114,Bidii Enterprises,Utilities,Water Bill,4,1181.0,5,4487.8,0,Mobile App,M-Pesa,Android,Failed,,SES707844,
TXN204011,2025-01-02 22:04:14,CUST6763,Otieno Ouma,Male,50,2024-11-08,Nairobi,Kilimani,MER1049,Mama Stores,Electronics,Power Bank 20000mAh,1,18771.0,20,15016.8,150,Mobile App,Airtel Money,Android,Completed,5,SES704010,7
TXN201796,2025-01-02 22:44:40,CUST6052,Salim Koech,Male,,2024-10-28,Machakos,Mlolongo,MER1090,Rafiki Collection,Financial Services,Insurance Premium,2,7870.0,0,15740.0,0,Mobile App,M-Pesa,Android,Completed,5,SES701795,
TXN206232,2025-01-03 06:24:33,CUST5835,Kariuki Ogutu,Male,24,2023-12-28,Kajiado,Ongata Rongai,MER1045,Baraka Dukas,Groceries,Rice Pishori 5kg,1,2481.0,0,2481.0,200,Mobile App,M-Pesa,Android,Completed,,SES706229,1
TXN206110,2025-01-03 06:54:19,CUST5389,Onyango Ali,Male,20,2024-01-27,Uasin Gishu,,MER1090,Rafiki Collection,Financial Services,Savings Deposit,1,2149.0,0,2149.0,0,Mobile App,M-Pesa,Android,Completed,5,SES706107,
TXN201992,2025-01-03 07:12:13,CUST6405,Salim Cheruiyot,Male,32,2024-05-20,nyeri,Othaya,MER1087,Zawadi Stores,Agriculture,Poultry Feed 20kg,1,2186.0,0,2186.0,250,Mobile App,M-Pesa,Android,Completed,,SES701991,2
TXN211914,2025-01-03 08:23:35,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1012,Rafiki Traders,Airtime & Data,Safaricom Airtime 100,1,853.0,0,853.0,0,Mobile App,Bank Transfer,Android,Completed,,SES711906,
TXN211182,2025-01-03 08:35:21,CUST6441,Mwende Ndung'u,Female,36,2024-07-15,Kiambu,Limuru,MER1013,Amani Supplies,Food & Beverage,Fresh Juice 1L,1,275.0,0,275.0,100,Agent Outlet,Cash,Web Browser,Completed,3,SES711175,1
TXN210986,2025-01-03 08:51:12,CUST6642,Kirui Karanja,Male,25,2024-09-24,Nyeri,Nyeri Town,MER1026,Safi Stores,Agriculture,Knapsack Sprayer,2,2587.0,0,5174.0,150,Mobile App,M-Pesa,Android,Completed,,SES710979,3
TXN212297,2025-01-03 08:54:19,CUST5788,Omondi Ndung'u,Male,25,2024-12-23,Kajiado,Ongata Rongai,MER1071,Jamii Supplies,Groceries,Cooking Oil 3L,2,1348.0,0,2696.0,300,Mobile App,Cash,Android,Completed,,SES712289,1
TXN203841,2025-01-03 08:55:45,CUST5407,Nekesa Okoth,Female,33,2024-04-04,Nyeri,Karatina,MER1107,Mama Enterprises,Health & Beauty,Shea Butter 250g,1,499.0,5,14161.8,150,Agent Outlet,M-Pesa,Feature Phone,Completed,3,SES703840,2
TXN206507,2025-01-03 09:07:40,CUST6028,Zawadi Karanja,Female,19,2024-11-27,Meru,Maua,MER1001,Bora Agencies,Fashion,Ankara Dress,2,5819.0,0,11638.0,100,Mobile App,Cash,Android,Completed,3,SES706504,4
TXN202227,2025-01-03 09:40:28,CUST5316,Njoroge Juma,Male,23,2024-03-28,Kiambu,Kikuyu,MER1012,Rafiki Traders,Airtime & Data,Airtel Data 2GB,4,1452.0,0,5808.0,0,Web,M-Pesa,Android,Completed,4,SES702226,
TXN205318,2025-01-03 10:14:31,CUST5573,Nyambura Karanja,Female,29,2024-02-11,Kajiado,Kitengela,MER1009,Bora Collection,Health & Beauty,Vitamin C Tablets,2,2453.0,0,4906.0,350,Mobile App,M-Pesa,iOS,Cancelled,,SES705316,
TXN201881,2025-01-03 10:34:10,CUST5594,Rotich Muriuki,Male,21,2023-12-20,Nairobi,Westlands,MER1059,Heri Mart,Fashion,Sports Sneakers,5,2050.0,0,10250.0,0,Agent Outlet,Cash,Android,Refunded,,SES701880,
TXN209412,2025-01-03 11:00:27,CUST5470,Jelagat Ali,Female,28,2024-02-14,kisumu,Kondele,MER1029,Bora Enterprises,Groceries,Cooking Oil 3L,1,1556.0,0,1556.0,100,Mobile App,M-Pesa,Android,Completed,,SES709407,1
TXN212265,2025-01-03 11:04:34,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1013,Amani Supplies,Food & Beverage,Nyama Choma Platter,1,918.0,0,918.0,300,USSD,M-Pesa,Android,Completed,5,SES712257,2
TXN200199,2025-01-03 11:31:38,CUST5537,Njeri Amollo,Female,26,2024-12-04,Nairobi,Kilimani,MER1087,Zawadi Stores,Agriculture,Knapsack Sprayer,4,1047.0,0,4188.0,250,MOBILE APP,M-Pesa,Android,Completed,,SES700200,3
TXN210100,2025-01-03 12:12:06,CUST5914,Yusuf Njuguna,Male,21,2024-01-13,Nakuru,Gilgil,MER1030,Baraka Ltd,Groceries,Green Grams 1kg,1,739.0,0,739.0,250,USSD,M-Pesa,Feature Phone,Completed,,SES710094,2
TXN212478,2025-01-03 12:25:41,CUST5306,Barasa Karanja,Male,45,2024-01-25,Nairobi,Embakasi,MER1006,Mizizi Traders,Utilities,Water Bill,1,3044.0,0,3044.0,0,Mobile App,M-Pesa,Android,Completed,4,SES712470,
TXN200631,2025-01-03 13:24:59,CUST5519,Jepkosgei Cheruiyot,Female,40,2024-02-29,KIAMBU,Juja,MER1053,Rafiki Hub,Groceries,Rice Pishori 5kg,1,910.0,0,910.0,350,Mobile App,Airtel Money,Android,Failed,,SES700631,
TXN210630,2025-01-03 13:59:07,CUST5081,Adhiambo Kiptoo,Female,36,2024-03-28,Garissa,Garissa Town,MER1001,Bora Agencies,Fashion,Kitenge Shirt,1,6925.0,0,6925.0,100,USSD,M-Pesa,Feature Phone,Completed,3,SES710623,1
TXN211045,2025-01-03 14:18:12,CUST5519,Jepkosgei Cheruiyot,Female,40,2024-02-29,Kiambu,Juja,MER1058,Twiga Collection,Airtime & Data,Airtel Data 2GB,2,814.0,0,1628.0,0,Mobile App,Card,Android,Completed,,SES711038,
TXN214511,2025-01-03 14:48:43,CUST6763,Otieno Ouma,Male,50,2024-11-08,Nairobi,Kilimani,MER1082,Nuru Traders,Groceries,Milk 500ml x12,5,1809.0,0,9045.0,200,MOBILE APP,Airtel Money,Android,Completed,5,SES714502,1
TXN209062,2025-01-03 15:23:19,CUST6497,Mueni Mburu,Female,46,2024-11-12,Kajiado,Ongata Rongai,MER1038,Nuru Hub,Airtime & Data,Safaricom Airtime 100,1,636.0,25,477.0,0,USSD,Card,Android,Completed,5,SES709057,
TXN204377,2025-01-03 15:53:11,CUST6002,Achieng Ouma,Female,27,2024-04-09,Kisumu,Milimani,MER1007,Bora Ltd,Fashion,Denim Jacket,2,3697.0,0,7394.0,0,USSD,M-Pesa,Android,Completed,,SES704376,
TXN213974,2025-01-03 16:03:39,CUST6504,Muthoni Okoth,Female,25,2023-11-28,Nairobi,Ruaraka,MER1062,Bidii Supplies,Transport,Ride Hailing Trip,1,1986.0,0,1986.0,0,USSD,Cash,Android,Completed,,SES713965,
TXN204498,2025-01-03 16:08:10,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1062,Bidii Supplies,Transport,Ride Hailing Trip,1,2042.0,0,2042.0,0,Agent Outlet,Cash,Android,Completed,,SES704497,
TXN208947,2025-01-03 16:36:14,CUST5935,Baraka Hassan,Male,38,2024-06-27,Kisumu,,MER1029,Bora Enterprises,Groceries,Cooking Oil 3L,2,1546.0,5,2937.4,350,Mobile App,Cash,Android,Completed,,SES708942,2
TXN200888,2025-01-03 17:31:48,CUST5405,Kipchumba Juma,Male,29,2024-10-23,  Nyeri ,Karatina,MER1022,Safi Hub,Health & Beauty,Braiding Hair Pack,3,2551.0,0,7653.0,250,USSD,M-Pesa,Feature Phone,Completed,5,SES700888,7
TXN204131,2025-01-03 17:43:48,CUST6489,Akinyi Chege,Female,45,2024-07-30,Nairobi,Westlands,MER1028,Amani Agencies,Airtime & Data,Airtime Voucher 250,1,114.0,0,114.0,0,Mobile App,M-Pesa,Android,Completed,,SES704130,
TXN203083,2025-01-03 17:59:06,CUST5929,Baraka Mwende,Male,18,2024-06-28,Nairobi,Kasarani,MER1087,Zawadi Stores,Agriculture,Maize Seed 2kg,1,5655.0,0,5655.0,0,Web,Airtel Money,Android,Completed,,SES703082,
TXN206978,2025-01-03 18:09:32,CUST6781,Muthoni Kiptoo,Female,42,2024-03-10,Kiambu,Ruiru,MER1013,Amani Supplies,Food & Beverage,Pilau Serving,8,1571.0,5,11939.6,250,Agent Outlet,M-Pesa,Feature Phone,Completed,2,SES706975,3
TXN214792,2025-01-03 18:18:54,CUST5669,Muthoni Okoth,Female,27,2024-09-22,Nairobi,Kilimani,MER1000,Baraka Mart,Groceries,Unga Maize Flour 2kg,1,1073.0,0,1073.0,0,USSD,M-Pesa,Feature Phone,Completed,3,SES714783,
TXN205985,2025-01-03 18:19:26,CUST6452,Nekesa Osoro,Female,50,2024-09-22,Nairobi,Ruaraka,MER1100,Pamoja Dukas,Food & Beverage,Chapati Pack,5,2157.0,0,10785.0,100,Mobile App,M-Pesa,iOS,Completed,,SES705983,1
TXN213387,2025-01-03 20:32:22,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1104,Twiga Hub,Transport,Matatu Fare,4,1615.0,0,6460.0,0,WEB,M-Pesa,Android,Completed,4,SES713379,
TXN205338,2025-01-03 20:45:48,CUST5519,Jepkosgei Cheruiyot,Female,40,2024-02-29,Kiambu,Juja,MER1058,Twiga Collection,Airtime & Data,Telkom Bundle 5GB,1,93.0,0,93.0,0,USSD,M-Pesa,Android,Completed,,SES705336,
TXN206418,2025-01-03 22:11:32,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1057,Baraka Supplies,Groceries,Green Grams 1kg,2,617.0,0,1234.0,0,Agent Outlet,Bank Transfer,Android,Completed,,SES706415,
TXN212430,2025-01-03 22:28:17,CUST5853,Akinyi Simiyu,Female,24,2024-07-02,nakuru,Lanet,MER1066,Twiga Mart,Airtime & Data,Safaricom Data 10GB,1,1316.0,5,1250.2,0,MOBILE APP,M-Pesa,Android,Completed,5,SES712422,
TXN208740,2025-01-03 22:38:41,CUST6436,Rotich Kiptoo,Male,20,2024-02-10,  Nairobi ,Ruaraka,MER1093,Rafiki Stores,Utilities,DSTV Subscription,1,4227.0,0,4227.0,0,USSD,Card,Feature Phone,Completed,,SES708736,
TXN212398,2025-01-03 22:45:47,CUST5407,Nekesa Okoth,Female,33,2024-04-04,Nyeri,Karatina,MER1022,Safi Hub,Health & Beauty,Shea Butter 250g,1,1492.0,0,1492.0,350,USSD,M-Pesa,Feature Phone,Completed,,SES712390,2
TXN212450,2025-01-03 22:46:51,CUST5805,Wambui Cheruiyot,Female,34,2024-12-14,Uasin Gishu,Kapsoya,MER1088,Safi Collection,Fashion,Maasai Shuka,1,2312.0,0,2312.0,300,Mobile App,M-Pesa,Android,Completed,,SES712442,1
TXN205153,2025-01-04 07:26:11,CUST5882,Wambui Amollo,Female,44,2024-03-25,Nairobi,Karen,MER1087,Zawadi Stores,Agriculture,Knapsack Sprayer,2,5794.0,0,11588.0,350,Mobile App,Cash,iOS,Completed,,SES705151,4
TXN209884,2025-01-04 07:32:21,CUST5365,Akinyi Mbugua,Female,27,2024-05-18,Nairobi,Embakasi,MER1073,Chapa Enterprises,Transport,Ride Hailing Trip,2,2445.0,0,4890.0,0,Mobile App,M-Pesa,Android,Completed,4,SES709878,
TXN201943,2025-01-04 09:39:22,CUST5421,Maina Hassan,Male,29,2024-02-05,Nakuru,Bahati,MER1055,Imani Collection,Airtime & Data,Safaricom Data 10GB,1,90.0,0,90.0,0,Web,Airtel Money,Android,Completed,4,SES701942,
TXN210800,2025-01-04 10:52:09,CUST6622,Akinyi Osoro,Female,24,2024-07-04,Nairobi,Embakasi,MER1020,Imani Enterprises,Groceries,Milk 500ml x12,1,1135.0,0,1135.0,150,USSD,Card,iOS,Completed,,SES710793,2
TXN214056,2025-01-04 12:43:04,CUST5853,Akinyi Simiyu,Female,,2024-07-02,Nakuru,Lanet,MER1076,Bora Stores,Food & Beverage,Mandazi Pack,1,270.0,0,270.0,100,Mobile App,Card,Android,Completed,,SES714047,1
TXN209520,2025-01-04 12:49:57,CUST6763,Otieno Ouma,Male,50,2024-11-08,Nairobi,Kilimani,MER1069,Soko Ltd,Financial Services,Loan Repayment,1,9724.0,15,8265.4,0,Mobile App,Card,Android,Completed,,SES709515,
TXN204076,2025-01-04 12:51:06,CUST5989,Mwende Mwende,Female,43,2024-05-29,Nairobi,Karen,MER1100,Pamoja Dukas,Food & Beverage,Fresh Juice 1L,1,770.0,0,770.0,100,MOBILE APP,Card,Android,Completed,,SES704075,2
TXN210638,2025-01-04 14:25:49,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1097,Nuru Ltd,Airtime & Data,Safaricom Data 10GB,2,287.0,0,574.0,0,Mobile App,Airtel Money,Android,Completed,,SES710631,
TXN205843,2025-01-04 14:51:39,CUST6638,Onyango Mbugua,Male,48,2024-11-12,Nairobi,Karen,MER1087,Zawadi Stores,Agriculture,Knapsack Sprayer,3,3197.0,0,9591.0,200,Mobile App,Bank Transfer,Android,Pending,,SES705841,
TXN212177,2025-01-04 15:50:32,CUST6228,Kilonzo Mutua,Male,25,2024-11-16,Machakos,Machakos Town,MER1110,Chapa Collection,Food & Beverage,Nyama Choma Platter,1,374.0,0,374.0,0,USSD,Airtel Money,Android,Refunded,,SES712169,
TXN208136,2025-01-04 16:12:16,CUST6558,Njoki Langat,Female,32,2024-02-26,Nairobi,Karen,MER1038,Nuru Hub,Airtime & Data,Safaricom Data 10GB,2,431.0,0,862.0,0,Mobile App,M-Pesa,Android,Completed,,SES708132,
TXN201536,2025-01-04 16:21:06,CUST6202,Ochieng Karanja,Male,25,2024-07-21,Nakuru,Lanet,MER1087,Zawadi Stores,Agriculture,Poultry Feed 20kg,8,11000.0,0,88000.0,200,Agent Outlet,Cash,Feature Phone,Completed,,SES701535,1
TXN212945,2025-01-04 16:36:34,CUST5464,Achieng Kimani,Female,43,2024-05-26,Kisumu,Nyalenda,MER1012,Rafiki Traders,Airtime & Data,Airtime Voucher 250,1,1015.0,0,1015.0,0,USSD,M-Pesa,Feature Phone,Completed,,SES712937,
TXN205206,2025-01-04 16:52:53,CUST5129,Onyango Langat,Male,30,2024-03-16,Kisumu,Milimani,MER1003,Twiga Supplies,Transport,Boda Ride,1,2417.0,15,2054.45,0,Mobile App,Card,Web Browser,Completed,,SES705204,
TXN201562,2025-01-04 16:59:27,CUST5229,Kiplagat Ogutu,Male,31,2024-03-07,Nairobi,Kilimani,MER1072,Bora Dukas,Transport,Ride Hailing Trip,8,2957.0,0,23656.0,0,Mobile App,M-Pesa,Android,Completed,,SES701561,
