transaction_id,transaction_timestamp,customer_id,customer_name,gender,age,county,phone_number,channel,transaction_type,merchant_category,device_type,amount_kes,transaction_fee_kes,balance_after_kes,status
TXN0001509,2024-01-01 23:30:05,CUST00628,Anyango Onyango,Female,28,Mombasa,0768577870,M-Pesa,Buy Goods (Till),Electronics,Feature Phone,5209.42,55,115899.83,Completed
TXN0005153,2024-01-01 23:32:20,CUST00453,Gitau Wekesa,Female,66,Kiambu,0790676619,Airtel Money,Pay Bill,School Fees,Android,48483.31,105,136375.98,Completed
TXN0001058,2024-01-02 02:54:02,CUST00498,Nyokabi Wekesa,Male,19,Kisumu,0722485926,M-Pesa,Deposit Cash,N/A,iOS,12466.26,0.0,126449.4,Completed
TXN0003380,2024-01-02 06:05:05,CUST00021,Onyango Mutiso,Female,66,Migori,0722499022,T-Kash,Withdraw Cash,N/A,Feature Phone,4450.98,33,109001.33,Completed
TXN0005185,2024-01-02 06:44:19,CUST00734,Rotich Kiplagat,Male,50,Uasin Gishu,0722682751,Airtel Money,Buy Goods (Till),Restaurant,iOS,15152.28,55,226859.94,Completed
TXN0002012,2024-01-02 07:58:24,CUST00185,Wairimu Otieno,Female,68,Bomet,0759591261,M-Pesa,Send Money,N/A,Android,40250.98,100,219237.2,Completed
TXN0001038,2024-01-02 08:41:59,CUST00004,Rotich Wanjala,Female,41,Uasin Gishu,0723022021,M-Pesa,Send Money,N/A,Android,39262.55,105,228999.82,Completed
TXN0002847,2024-01-02 09:35:14,CUST00477,Omondi Mutiso,Male,47,Garissa,0710303690,M-Pesa,Pay Bill,Internet (ISP),Android,49285.66,105,3523.5,Completed
TXN0002586,2024-01-02 10:57:37,CUST00362,Rotich Otieno,Female,41,Uasin Gishu,0768870657,Airtel Money,Send Money,N/A,Android,13261.37,87,112490.82,Completed
TXN0003901,2024-01-02 13:04:30,CUST00614,Rotich Langat,Male,61,Kilifi,0768331027,M-Pesa,Airtime Purchase,N/A,Android,394.38,0.0,42312.08,Completed
TXN0003574,2024-01-02 16:05:31,CUST00070,Nabwire Odhiambo,Female,68,Nairobi,0710086291,M-Pesa,Buy Goods (Till),Restaurant,Android,7827.01,55,89024.08,Completed
TXN0002093,2024-01-02 16:29:30,CUST00144,Rotich Omollo,Male,21,Nairobi,0111717059,M-Pesa,Deposit Cash,N/A,iOS,85743.73,0.0,106584.63,Completed
TXN0004921,2024-01-02 16:30:48,CUST00777,Onyango Ruto,Female,45,Mombasa,0768490701,Airtel Money,Pay Bill,Electricity (KPLC),Feature Phone,135817.54,105,66744.74,Completed
TXN0005608,2024-01-02 16:45:24,CUST00602,Maina Langat,Male,65,Kisumu,0790028744,M-Pesa,Send Money,N/A,Android,16699.65,55,154546.13,Completed
TXN0003881,2024-01-02 17:17:59,CUST00668,Kipchoge Ruto,Female,69,Kilifi,0759584526,M-Pesa,Send Money,N/A,Android,25488.37,100,203075.98,Completed
TXN0005043,2024-01-02 17:33:36,CUST00734,Rotich Kiplagat,Male,50,Uasin Gishu,0722682751,Airtel Money,Deposit Cash,N/A,iOS,35575.64,0.0,10745.84,Completed
TXN0003033,2024-01-02 20:06:15,CUST00686,Nyokabi Ruto,Male,65,Kajiado,0759622501,M-Pesa,Buy Goods (Till),Clothing,Android,6749.22,87,123894.25,Completed
TXN0002874,2024-01-02 20:43:30,CUST00623,Wangari Makau,Female,45,Kilifi,0723032120,Airtel Money,Buy Goods (Till),Clothing,Android,11123.01,62,191780.62,Completed
TXN0001468,2024-01-02 21:00:42,CUST00299,Nafula Waweru,Male,71,Nairobi,0759887480,M-Pesa,Withdraw Cash,N/A,Android,65031.26,108,27807.47,Completed
TXN0005892,2024-01-03 01:49:32,CUST00533,Ochieng Kimani,Female,59,Kisumu,0790408396,M-Pesa,Send Money,N/A,Android,44496.3,105,12521.02,Completed
TXN0003133,2024-01-03 06:51:33,CUST00032,Akinyi Njuguna,Male,37,Nakuru,0722327634,M-Pesa,Buy Goods (Till),Restaurant,Android,3485.0,33,198151.63,Completed
TXN0000380,2024-01-03 07:00:25,CUST00174,Kipchoge Wabwire,Male,72,Kiambu,0740577301,M-Pesa,Withdraw Cash,N/A,Feature Phone,16884.4,55,171079.15,Completed
TXN0002774,2024-01-03 08:35:15,CUST00710,Njeri Kamau,Male,54,Kajiado,0768117762,M-Pesa,Send Money,N/A,Android,1634.82,33,29753.82,Completed
TXN0003464,2024-01-03 09:08:07,CUST00481,Nasike Ruto,Male,37,Meru,0710885737,M-Pesa,Reversal,N/A,Feature Phone,37869.28,0.0,119871.52,Completed
TXN0001113,2024-01-03 12:32:23,CUST00120,Otieno Kiprono,Male,72,Machakos,0701007335,M-Pesa,Send Money,N/A,Android,19709.12,55,154066.58,Completed
TXN0005057,2024-01-03 13:14:18,CUST00429,Nasike Makau,Female,66,Homa Bay,0740374180,Airtel Money,Buy Goods (Till),Pharmacy,Android,18540.92,55,113000.03,Completed
TXN0001727,2024-01-03 14:42:19,CUST00157,Atieno Kiplagat,Male,61,Nyeri,0768582329,M-Pesa,Withdraw Cash,N/A,Android,31936.13,105,212393.53,Completed
TXN0000860,2024-01-03 14:54:48,CUST00135,Muthoni Gichuru,Female,39,Uasin Gishu,0111715501,M-Pesa,Pay Bill,Water Utility,Android,92302.33,105,17310.64,Completed
TXN0001111,2024-01-03 15:22:08,CUST00659,Kiptoo Amollo,Female,52,Bungoma,0759455771,M-Pesa,Deposit Cash,N/A,iOS,44908.62,0.0,89042.37,Completed
TXN0001833,2024-01-03 15:50:00,CUST00103,Nyokabi Mwangi,Male,55,Kakamega,0111366170,M-Pesa,Reversal,N/A,Android,6454.27,0.0,68649.29,Completed
TXN0003059,2024-01-03 16:21:54,CUST00235,Kibet Kiprono,Female,28,Nyeri,0768796196,Airtel Money,Withdraw Cash,N/A,Feature Phone,42987.1,108,221336.6,Completed
TXN0004829,2024-01-03 16:55:33,CUST00385,Achieng Waweru,Male,66,Bomet,0790926221,T-Kash,Airtime Purchase,N/A,Android,255.56,0.0,232829.53,Completed
TXN0003728,2024-01-03 17:09:26,CUST00468,Wambui Langat,Female,36,Mombasa,0790979677,Airtel Money,Buy Goods (Till),Electronics,Android,7210.67,55,1950.64,Completed
TXN0003742,2024-01-03 17:47:51,CUST00480,Wafula Gichuru,Male,53,Machakos,0759877849,M-Pesa,Withdraw Cash,N/A,Android,37240.9,100,238271.24,Completed
TXN0000509,2024-01-03 18:03:28,CUST00340,Nabwire Njuguna,Male,59,Kakamega,0710923574,M-Pesa,Buy Goods (Till),Hardware,Android,14531.55,62,121561.86,Completed
TXN0002722,2024-01-03 18:03:53,CUST00665,Gitau Amollo,Male,27,Kiambu,0768392256,M-Pesa,Send Money,N/A,Android,4196.57,40,246228.01,Completed
TXN0001402,2024-01-03 18:18:39,CUST00614,Rotich Langat,Male,61,Kilifi,0768331027,M-Pesa,Buy Goods (Till),Fuel Station,Android,5988.74,87,15088.41,Completed
TXN0001596,2024-01-03 19:30:16,CUST00302,Njoroge Sang,Male,46,Nakuru,0722451375,T-Kash,Deposit Cash,N/A,Android,42426.21,0.0,106688.68,Completed
TXN0002918,2024-01-03 19:36:15,CUST00495,Kariuki Sang,Female,25,Uasin Gishu,0701665485,M-Pesa,Buy Goods (Till),Fuel Station,Android,5690.72,55,239147.0,Completed
TXN0001612,2024-01-03 21:11:36,CUST00330,Simiyu Kiplagat,Female,42,Uasin Gishu,0740794450,M-Pesa,Withdraw Cash,N/A,Android,26246.04,100,183988.44,Completed
TXN0000662,2024-01-03 21:16:25,CUST00174,Kipchoge Wabwire,Male,72,Kiambu,0740577301,M-Pesa,Withdraw Cash,N/A,Feature Phone,42804.77,100,247411.71,Completed
TXN0003014,2024-01-04 00:15:27,CUST00713,Kipchoge Amollo,Female,65,Trans Nzoia,0723843681,Airtel Money,Pay Bill,Rent,Android,38861.77,105,42139.02,Completed
TXN0001238,2024-01-04 02:20:33,CUST00546,Barasa Mutiso,Female,68,Nakuru,0722758886,M-Pesa,Pay Bill,SACCO,Android,102578.4,100,25902.84,Completed
TXN0005459,2024-01-04 04:33:54,CUST00047,Wangari Sang,Female,47,Uasin Gishu,0768343432,M-Pesa,Send Money,N/A,Android,10297.58,62,203639.91,Completed
TXN0005784,2024-01-04 06:42:22,CUST00608,Onyango Otieno,Male,41,Kisumu,0710393914,M-Pesa,Send Money,N/A,Android,17426.98,55,5068.06,Completed
TXN0000603,2024-01-04 07:07:52,CUST00613,Kariuki Waweru,Male,66,Uasin Gishu,0111017342,M-Pesa,Buy Goods (Till),Supermarket,Android,8180.83,55,199048.57,Completed
TXN0004517,2024-01-04 08:06:45,CUST00682,Cheruiyot Gichuru,Female,69,Nairobi,0759618611,M-Pesa,Buy Goods (Till),Fuel Station,Android,4375.76,33,176091.32,Completed
TXN0000395,2024-01-04 08:47:52,CUST00782,Kipchoge Amollo,Female,33,Kajiado,0759264611,M-Pesa,Pay Bill,Electricity (KPLC),Android,78875.63,100,21437.51,Completed
TXN0002294,2024-01-04 08:52:30,CUST00258,Kiptoo Kimani,Female,56,Machakos,0790643232,M-Pesa,Buy Goods (Till),Pharmacy,iOS,3576.44,33,150776.94,Completed
TXN0004295,2024-01-04 10:53:46,CUST00547,Onyango Amollo,Female,66,Nairobi,0723768155,M-Pesa,Send Money,N/A,Android,9512.2,62,18098.53,Completed
TXN0003977,2024-01-04 12:33:11,CUST00163,Cherono Onyango,Male,61,Machakos,0722817754,Airtel Money,Buy Goods (Till),Restaurant,Android,9152.12,62,217769.63,Completed
TXN0003512,2024-01-04 13:16:24,CUST00109,Maina Wekesa,Male,35,Mombasa,0759149243,M-Pesa,Withdraw Cash,N/A,Android,4841.72,33,169784.08,Completed
TXN0002277,2024-01-04 15:44:13,CUST00098,Onyango Sang,Female,54,Kilifi,0701686939,M-Pesa,Pay Bill,Water Utility,Android,55681.16,0.0,222846.46,Reversed
TXN0005516,2024-01-04 17:33:58,CUST00281,Achieng Chepkwony,Female,53,Nairobi,0723796856,M-Pesa,Buy Goods (Till),Fuel Station,Android,6360.31,0.0,202123.65,Reversed
TXN0005106,2024-01-04 21:57:39,CUST00672,Anyango Kamau,Male,57,Nairobi,0722777279,Airtel Money,Deposit Cash,N/A,Feature Phone,22929.04,0.0,249640.99,Completed
TXN0003050,2024-01-04 22:13:25,CUST00262,Owino Omollo,Male,65,Garissa,0768732284,Airtel Money,Buy Goods (Till),Fuel Station,Android,24009.68,0.0,55670.14,Failed
TXN0001241,2024-01-04 22:42:14,CUST00380,Otieno Chepkwony,Female,35,Nairobi,0111860396,M-Pesa,Buy Goods (Till),Restaurant,Android,17649.84,55,9323.09,Completed
TXN0001695,2024-01-05 06:04:48,CUST00260,Gitau Onyango,Female,42,Nyeri,0740376649,M-Pesa,Buy Goods (Till),Hardware,Android,10888.66,55,20305.75,Completed
TXN0001657,2024-01-05 07:23:38,CUST00062,Cheruiyot Wekesa,Male,37,Uasin Gishu,0759428196,M-Pesa,Send Money,N/A,iOS,23262.15,108,210780.82,Completed
TXN0001493,2024-01-05 11:27:07,CUST00092,Cherono Kiplagat,Male,60,Mombasa,0701425316,M-Pesa,Send Money,N/A,Android,32091.15,108,178832.53,Completed
TXN0003254,2024-01-05 13:07:27,CUST00255,Owino Wekesa,Female,71,Turkana,0723231598,M-Pesa,Buy Goods (Till),Pharmacy,Android,22962.55,108,126256.07,Completed
TXN0001284,2024-01-05 13:27:28,CUST00019,Mumbi Musyoka,Male,50,Homa Bay,0759190156,M-Pesa,Buy Goods (Till),Pharmacy,Android,18965.29,87,230612.16,Completed
TXN0005962,2024-01-05 15:03:49,CUST00345,Nasike Kiplagat,Female,52,Migori,0759496156,M-Pesa,Send Money,N/A,Android,24636.23,100,19.49,Completed
TXN0000588,2024-01-05 16:55:02,CUST00202,Kariuki Kariuki,Male,38,Kajiado,0111518787,M-Pesa,Send Money,N/A,Android,19350.55,55,11003.36,Completed
TXN0001096,2024-01-05 17:45:25,CUST00403,Ndungu Ochieng,Male,68,Kilifi,0111720838,M-Pesa,Send Money,N/A,Android,33357.56,105,193215.34,Completed
TXN0005907,2024-01-05 19:20:44,CUST00295,Njeri Gichuru,Female,63,Kiambu,0740957154,M-Pesa,Send Money,N/A,Feature Phone,40025.04,100,70812.66,Completed
TXN0001779,2024-01-05 20:43:38,CUST00106,Nyambura Wekesa,Male,71,Meru,0710703796,M-Pesa,Withdraw Cash,N/A,Feature Phone,44232.47,105,7620.84,Completed
TXN0003018,2024-01-05 22:55:28,CUST00621,Barasa Ochieng,Male,56,Kiambu,0768696368,M-Pesa,Buy Goods (Till),Clothing,Feature Phone,3524.51,33,22624.36,Completed
TXN0002365,2024-01-06 05:37:52,CUST00441,Otieno Otieno,Female,39,Nairobi,0722426598,M-Pesa,Reversal,N/A,Feature Phone,17612.85,0.0,167776.72,Completed
TXN0001204,2024-01-06 06:18:51,CUST00573,Kagwe Chepkwony,Male,35,Garissa,0740693632,M-Pesa,Airtime Purchase,N/A,Android,1122.07,0.0,80989.72,Completed
TXN0000675,2024-01-06 08:19:24,CUST00209,Adhiambo Owuor,Female,56,Kisumu,0768208941,M-Pesa,Buy Goods (Till),Restaurant,Android,20477.43,100,106538.07,Completed
TXN0004883,2024-01-06 08:34:16,CUST00547,Onyango Amollo,Female,66,Nairobi,0723768155,M-Pesa,Buy Goods (Till),Pharmacy,Android,4911.65,45,181538.19,Completed
TXN0001572,2024-01-06 09:41:22,CUST00184,Nafula Musyoka,Female,26,Kakamega,0740214345,M-Pesa,Send Money,N/A,Android,49440.98,108,198678.36,Completed
TXN0000100,2024-01-06 11:41:46,CUST00640,Wangari Ruto,Female,60,Nakuru,0722988084,Airtel Money,Buy Goods (Till),Fuel Station,iOS,4613.92,33,86239.36,Completed
TXN0005137,2024-01-06 13:50:07,CUST00256,Wambui Waweru,Female,50,Nairobi,0722411826,T-Kash,Send Money,N/A,Feature Phone,22591.04,108,20125.43,Completed
TXN0002181,2024-01-06 15:57:55,CUST00604,Kiprop Mutiso,Female,72,Nairobi,0768245351,T-Kash,Send Money,N/A,Android,9535.76,55,84973.85,Completed
TXN0003792,2024-01-06 18:27:51,CUST00211,Kamau Gichuru,Male,43,Kisumu,0759744651,M-Pesa,Withdraw Cash,N/A,Android,62872.69,105,157976.09,Completed
TXN0000014,2024-01-06 21:31:10,CUST00788,Otieno Cheptoo,Male,64,Nairobi,0723646327,Airtel Money,Buy Goods (Till),Pharmacy,Feature Phone,4705.81,33,32968.18,Completed
TXN0005449,2024-01-06 21:44:56,CUST00233,Wairimu Barasa,Female,29,Mombasa,0723060436,Airtel Money,Send Money,N/A,Android,6675.38,55,54901.38,Completed
TXN0005138,2024-01-06 23:37:55,CUST00271,Njoroge Ochieng,Male,68,Nairobi,0740678934,M-Pesa,Deposit Cash,N/A,Android,21400.68,0.0,39222.21,Completed
TXN0002372,2024-01-07 03:28:42,CUST00410,Nyokabi Amollo,Female,30,Nyeri,0759097508,M-Pesa,Pay Bill,Rent,Android,97996.2,100,177042.45,Completed
TXN0000815,2024-01-07 07:06:52,CUST00509,Waweru Njoroge,Male,27,Nairobi,0740942543,T-Kash,Send Money,N/A,Android,20229.38,100,215025.26,Completed
TXN0005795,2024-01-07 07:13:09,CUST00147,Nyokabi Barasa,Male,47,Trans Nzoia,0759581528,M-Pesa,Buy Goods (Till),Pharmacy,Feature Phone,12730.24,55,21083.91,Completed
TXN0002315,2024-01-07 07:23:30,CUST00257,Waweru Karanja,Female,42,Kericho,0701246831,M-Pesa,Send Money,N/A,Android,6943.52,55,152207.45,Completed
TXN0002653,2024-01-07 07:31:51,CUST00516,Jelagat Musyoka,Female,65,Nairobi,0710687141,Airtel Money,Send Money,N/A,iOS,30528.14,108,232999.41,Completed
TXN0003356,2024-01-07 11:38:12,CUST00247,Adhiambo Gichuru,Male,30,Nairobi,0768062815,M-Pesa,Buy Goods (Till),Electronics,Feature Phone,17508.0,87,229760.84,Completed
TXN0002373,2024-01-07 12:21:44,CUST00730,Rotich Kiplagat,Male,58,Bomet,0723071676,M-Pesa,Send Money,N/A,Android,20188.88,0.0,146541.72,Failed
TXN0000017,2024-01-07 16:56:13,CUST00791,Ochieng Gichuru,Female,68,Nairobi,0722662883,M-Pesa,Pay Bill,Insurance,Android,20525.71,100,110952.17,Completed
TXN0003118,2024-01-07 16:59:31,CUST00572,Nafula Onyango,Female,40,Kericho,0740550753,M-Pesa,Airtime Purchase,N/A,Android,1606.46,0.0,247307.21,Completed
TXN0003845,2024-01-07 17:50:37,CUST00533,Ochieng Kimani,Female,59,Kisumu,0790408396,M-Pesa,Buy Goods (Till),Supermarket,Android,16089.32,55,94129.02,Completed
TXN0002473,2024-01-07 20:32:14,CUST00244,Kipchoge Ruto,Female,42,Nakuru,0701042851,M-Pesa,Deposit Cash,N/A,Android,55902.15,0.0,87379.53,Failed
TXN0005016,2024-01-07 21:13:00,CUST00647,Mutua Omollo,Female,34,Nairobi,0723135195,M-Pesa,Pay Bill,Internet (ISP),Android,97759.27,108,172956.54,Completed
TXN0002662,2024-01-07 21:32:11,CUST00082,Cherono Cheptoo,Male,27,Trans Nzoia,0759216007,M-Pesa,Send Money,N/A,Android,16511.0,87,234209.6,Completed
TXN0004810,2024-01-07 23:49:02,CUST00066,Cheruiyot Wabwire,Female,69,Nakuru,0710405588,M-Pesa,Send Money,N/A,Android,46506.39,100,135804.66,Completed
TXN0001059,2024-01-08 00:20:53,CUST00145,Nasike Kimani,Female,30,Kilifi,0790369055,M-Pesa,Send Money,N/A,iOS,46702.37,100,177576.65,Completed
TXN0004710,2024-01-08 08:32:44,CUST00032,Akinyi Njuguna,Male,37,Nakuru,0722327634,M-Pesa,Airtime Purchase,N/A,Android,236.34,0.0,113232.77,Completed
TXN0001688,2024-01-08 11:20:05,CUST00307,Cherono Amollo,Female,41,Nairobi,0111843351,M-Pesa,Deposit Cash,N/A,Feature Phone,36561.41,0.0,165128.34,Failed
TXN0001478,2024-01-08 11:22:01,CUST00711,Njoroge Ochieng,Male,27,Nairobi,0722611349,M-Pesa,Send Money,N/A,Feature Phone,24429.1,105,37520.31,Completed
TXN0005538,2024-01-08 12:56:31,CUST00519,Njoroge Makau,Female,49,Nakuru,0768869264,M-Pesa,Withdraw Cash,N/A,Android,4805.47,45,15599.64,Completed
TXN0004823,2024-01-08 13:07:39,CUST00493,Onyango Njoroge,Female,36,Kakamega,0701558507,Equitel,Send Money,N/A,Feature Phone,13057.74,62,218398.21,Completed
TXN0005299,2024-01-08 13:12:41,CUST00533,Ochieng Kimani,Female,59,Kisumu,0790408396,M-Pesa,Pay Bill,Water Utility,Android,87685.53,105,21091.9,Completed
TXN0004468,2024-01-08 14:25:19,CUST00594,Nyokabi Wabwire,Male,31,Kiambu,0740331576,M-Pesa,Send Money,N/A,Feature Phone,37657.32,108,123582.87,Completed
TXN0004943,2024-01-08 15:09:39,CUST00527,Mumbi Kamau,Male,51,Kilifi,0710407680,M-Pesa,Buy Goods (Till),Electronics,Android,7211.04,55,72281.53,Completed
TXN0005480,2024-01-08 15:41:33,CUST00453,Gitau Wekesa,Female,66,Kiambu,0790676619,Airtel Money,Pay Bill,Insurance,Android,93407.14,100,6700.17,Completed
TXN0004025,2024-01-08 16:46:18,CUST00600,Kariuki Mutiso,Female,35,Nakuru,0710420925,M-Pesa,Pay Bill,School Fees,Android,4051.36,40,29241.68,Completed
TXN0000402,2024-01-08 17:04:39,CUST00601,Mutua Ochieng,Female,25,Nairobi,0722536277,Airtel Money,Pay Bill,Loan Repayment,Android,91013.96,100,111833.35,Completed
TXN0000072,2024-01-08 17:40:01,CUST00113,Akinyi Ruto,Male,33,Uasin Gishu,0710609055,Equitel,Airtime Purchase,N/A,Android,856.23,0.0,151240.3,Completed
TXN0000401,2024-01-08 17:59:09,CUST00774,Kiprop Langat,Male,35,Nairobi,0740492092,M-Pesa,Send Money,N/A,Android,47668.59,105,42614.49,Completed
TXN0002333,2024-01-08 18:26:22,CUST00334,Nasike Ruto,Male,57,Kiambu,0790499225,M-Pesa,Send Money,N/A,Feature Phone,17526.19,87,105594.37,Completed
TXN0004674,2024-01-08 19:24:48,CUST00272,Simiyu Wabwire,Male,48,Kiambu,0722001549,M-Pesa,Send Money,N/A,Android,35655.9,100,128528.11,Completed
TXN0002272,2024-01-08 22:20:57,CUST00463,Njoroge Waweru,Male,61,Kisumu,0710447010,Airtel Money,Send Money,N/A,Feature Phone,24995.21,100,129648.47,Completed
TXN0005277,2024-01-09 00:21:50,CUST00671,Nyambura Njuguna,Male,21,Nairobi,0790548945,M-Pesa,Pay Bill,Rent,Android,146641.42,100,189352.46,Completed
TXN0001394,2024-01-09 00:38:07,CUST00383,Gitau Barasa,Female,46,Kilifi,0790111096,M-Pesa,Send Money,N/A,Android,43321.05,108,134615.26,Completed
TXN0001310,2024-01-09 03:08:41,CUST00114,Nasike Otieno,Female,58,Nakuru,0111207376,M-Pesa,Withdraw Cash,N/A,Feature Phone,3871.96,40,105562.08,Completed
TXN0004716,2024-01-09 03:50:42,CUST00309,Kiptoo Kariuki,Male,52,Turkana,0759473277,M-Pesa,Send Money,N/A,Android,6575.19,87,81106.47,Completed
TXN0003266,2024-01-09 06:49:02,CUST00622,Njeri Mutiso,Female,19,Machakos,0701362592,M-Pesa,Airtime Purchase,N/A,Feature Phone,924.99,0.0,48958.41,Completed
TXN0003006,2024-01-09 08:10:17,CUST00674,Nyokabi Wabwire,Male,61,Nairobi,0759882420,M-Pesa,Withdraw Cash,N/A,Android,6423.98,87,157745.22,Completed
TXN0003246,2024-01-09 10:31:08,CUST00473,Ochieng Mutiso,Female,22,Migori,0768049457,M-Pesa,Buy Goods (Till),Restaurant,Android,13274.77,55,215760.52,Completed
TXN0000136,2024-01-09 10:43:27,CUST00103,Nyokabi Mwangi,Male,55,Kakamega,0111366170,M-Pesa,Send Money,N/A,Android,18297.51,87,46540.18,Completed
TXN0004050,2024-01-09 11:10:38,CUST00427,Simiyu Omollo,Female,49,Nairobi,0759830191,M-Pesa,Send Money,N/A,iOS,25743.87,105,242735.71,Completed
TXN0003270,2024-01-09 12:58:37,CUST00644,Atieno Amollo,Male,61,Trans Nzoia,0701141622,M-Pesa,Pay Bill,Internet (ISP),Android,27512.93,0.0,81589.49,Failed
TXN0005322,2024-01-09 14:32:30,CUST00727,Kemboi Karanja,Male,34,Nairobi,0722093713,M-Pesa,Deposit Cash,N/A,Android,99370.07,0.0,233890.7,Completed
TXN0004653,2024-01-09 17:13:15,CUST00686,Nyokabi Ruto,Male,65,Kajiado,0759622501,M-Pesa,Airtime Purchase,N/A,Android,28.55,0.0,8381.26,Completed
TXN0002747,2024-01-09 17:35:49,CUST00173,Nabwire Cheptoo,Female,24,Turkana,0722296529,M-Pesa,Send Money,N/A,Android,11517.12,62,98817.45,Completed
TXN0002924,2024-01-09 19:04:06,CUST00130,Gitau Musyoka,Female,47,Nairobi,0710377891,M-Pesa,Send Money,N/A,Android,17752.21,62,230695.22,Completed
TXN0004438,2024-01-09 19:31:25,CUST00746,Wafula Odhiambo,Male,72,Turkana,0790917512,M-Pesa,Send Money,N/A,Android,17799.76,87,242423.61,Completed
TXN0000904,2024-01-09 19:40:02,CUST00534,Njoroge Njuguna,Female,21,Uasin Gishu,0722554478,M-Pesa,Send Money,N/A,Android,38676.53,100,22525.12,Completed
TXN0005021,2024-01-09 20:31:10,CUST00259,Wafula Kiprono,Female,51,Kilifi,0722886667,M-Pesa,Buy Goods (Till),Supermarket,iOS,21010.18,105,52039.28,Completed
TXN0000568,2024-01-09 21:06:19,CUST00192,Akinyi Njuguna,Female,23,Kakamega,0111131654,M-Pesa,Send Money,N/A,Android,2545.12,40,128311.48,Completed
TXN0005799,2024-01-09 21:46:04,CUST00347,Wairimu Kamau,Female,62,Homa Bay,0701277575,M-Pesa,Withdraw Cash,N/A,Feature Phone,41946.38,105,15590.02,Completed
TXN0002182,2024-01-09 21:58:53,CUST00401,Rotich Kiplagat,Male,52,Turkana,0701747827,M-Pesa,Deposit Cash,N/A,Android,11135.06,0.0,142905.17,Completed
TXN0004625,2024-01-09 23:32:08,CUST00450,Wairimu Wekesa,Male,28,Bungoma,0701502454,M-Pesa,Send Money,N/A,Feature Phone,20783.94,108,131875.73,Completed
